,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be
2462,True,1100.0,2.0,100.0,True,False,False,True,8.0,False,0.0,False,bon,1020,Appartement,Brussels,Brussels
2463,True,500.0,1.0,35.0,True,False,False,False,0.0,False,0.0,False,bon,4020,Appartement,Liège,Region Walloonie
2464,True,1840.0,3.0,140.0,True,False,False,True,14.0,True,50.0,False,excellentétat,1180,Rez-de-chaussée,Brussels,Brussels
2465,True,875.0,2.0,95.0,True,False,False,True,10.0,False,0.0,False,excellentétat,9300,Appartement,East Flanders,Region Flanders
2466,True,1450.0,2.0,110.0,True,False,False,True,10.0,False,0.0,False,excellentétat,1160,Appartement,Brussels,Brussels
2467,True,1500.0,2.0,86.0,True,True,False,True,3.0,False,0.0,False,excellentétat,1030,Appartement,Brussels,Brussels
2468,True,625.0,2.0,75.0,True,False,False,True,6.0,False,0.0,False,fraîchementrénové,4802,Appartement,Liège,Region Walloonie
2469,True,660.0,1.0,83.0,True,False,False,False,0.0,False,0.0,False,bon,2060,Duplex,Antwerp,Region Flanders
2470,True,750.0,1.0,20.0,True,True,False,True,50.0,True,4163.0,False,bon,1000,Appartement,Brussels,Brussels
2471,True,1250.0,3.0,105.0,True,False,False,True,5.0,False,0.0,False,excellentétat,1420,Appartement,Walloon Brabant,Region Walloonie
2472,True,720.0,2.0,70.0,True,False,False,True,10.0,False,0.0,False,excellentétat,4620,Appartement,Liège,Region Walloonie
2473,True,1090.0,1.0,74.0,True,False,False,True,10.0,False,0.0,False,excellentétat,1390,Maison,Walloon Brabant,Region Walloonie
2474,True,850.0,2.0,96.0,True,False,False,False,0.0,False,0.0,False,bon,5530,Appartement,Namur,Region Walloonie
2475,True,750.0,1.0,94.0,True,False,False,True,5.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie
2476,True,980.0,2.0,90.0,True,False,False,True,10.0,False,0.0,False,excellentétat,1435,Appartement,Walloon Brabant,Region Walloonie
2477,True,825.0,1.0,64.0,True,False,False,True,12.0,False,0.0,False,excellentétat,1730,Appartement,Flemish Brabant,Region Flanders
2478,True,800.0,3.0,160.50541498310923,True,False,False,True,18.0,False,0.0,False,fraîchementrénové,6200,Triplex,Hainaut,Region Walloonie
2479,True,2850.0,2.0,200.0,True,False,False,True,96.0,True,20000.0,False,excellentétat,1150,Appartement,Brussels,Brussels
2480,True,820.0,2.0,145.0,True,False,False,True,17.0,False,0.0,False,excellentétat,4600,Rez-de-chaussée,Liège,Region Walloonie
2481,True,640.0,2.0,75.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,7603,Maison,Walloon Region,Region Walloonie
2482,True,850.0,3.0,200.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7170,Duplex,Walloon Region,Region Walloonie
2483,True,760.0,1.0,37.0,True,False,False,True,8.0,False,0.0,False,excellentétat,8000,Appartement,Walloon Region,Region Walloonie
2484,True,1000.0,2.0,75.0,True,False,False,False,0.0,False,0.0,False,bon,7050,Appartement,Walloon Region,Region Walloonie
2485,True,1200.0,3.0,120.0,True,False,False,True,36.0,False,0.0,False,excellentétat,1367,Maison,Walloon Brabant,Region Walloonie
2486,True,1100.0,1.0,63.0,True,True,False,True,5.0,False,0.0,False,excellentétat,1160,Appartement,Brussels,Brussels
2487,True,900.0,3.0,125.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,1301,Appartement,Walloon Brabant,Region Walloonie
2488,True,860.0,2.0,75.0,True,False,False,False,0.0,True,80.0,False,fraîchementrénové,6700,Appartement,Luxembourg,Region Walloonie
2489,True,400.0,1.0,42.0,False,False,False,False,0.0,False,0.0,False,bon,5100,Studio,Namur,Region Walloonie
2490,True,900.0,1.0,45.0,True,True,False,False,0.0,False,0.0,False,bon,1060,Studio,Brussels,Brussels
2491,True,890.0,3.0,136.0,True,False,False,True,17.0,False,0.0,False,excellentétat,6560,Penthouse,Hainaut,Region Walloonie
2492,True,620.0,1.0,56.0,True,False,False,False,0.0,False,0.0,False,bon,5100,Appartement,Namur,Region Walloonie
2493,True,880.0,2.0,130.0,True,False,False,False,0.0,True,50.0,False,bon,3390,Maison,Flemish Region,Region Flanders
2494,True,880.0,3.0,124.0,True,False,False,False,0.0,False,0.0,False,bon,3202,Maison,Flemish Region,Region Flanders
2495,True,1295.0,1.0,110.0,True,True,False,True,14.0,True,1.0,False,excellentétat,1000,Appartement,Brussels,Brussels
2496,True,1150.0,1.0,70.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1140,Appartement,Brussels,Brussels
2497,True,1350.0,2.0,91.0,True,True,False,True,12.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels
2498,True,700.0,1.0,68.0,True,False,False,True,5.0,False,0.0,False,excellentétat,1020,Appartement,Brussels,Brussels
2499,True,1050.0,4.0,190.0,True,False,False,True,21.0,False,0.0,False,excellentétat,4340,Triplex,Liège,Region Walloonie
2500,True,745.0,1.0,160.50541498310923,True,False,False,True,10.0,False,0.0,False,excellentétat,8500,Duplex,Walloon Region,Region Walloonie
2501,True,1700.0,3.0,150.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels
2502,True,2700.0,3.0,118.0,True,False,False,True,36.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels
2503,True,1500.0,2.0,123.0,True,False,False,True,40.0,False,0.0,False,excellentétat,1950,Appartement,Flemish Brabant,Region Flanders
2504,True,700.0,2.0,80.0,True,False,False,False,0.0,False,0.0,False,bon,7331,Appartement,Walloon Region,Region Walloonie
2505,True,685.0,2.0,92.0,True,False,False,True,10.0,False,0.0,False,bon,8210,Duplex,Walloon Region,Region Walloonie
2506,True,945.0,4.0,165.0,True,False,False,True,30.0,True,75.0,False,excellentétat,6761,Maison,Luxembourg,Region Walloonie
2507,True,565.0,2.0,73.0,True,False,False,True,5.0,False,0.0,False,bon,8430,Appartement,Walloon Region,Region Walloonie
2508,True,1015.0,1.0,55.0,True,True,False,True,10.0,False,0.0,False,excellentétat,1000,Duplex,Brussels,Brussels
2509,True,995.0,3.0,160.50541498310923,True,False,False,True,5.0,False,0.0,False,excellentétat,4130,Appartement,Liège,Region Walloonie
2510,True,790.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,8000,Maison,Walloon Region,Region Walloonie
2511,True,1250.0,3.0,125.0,True,False,False,True,40.0,True,400.0,False,excellentétat,1410,Maison,Walloon Brabant,Region Walloonie
2512,True,890.0,2.0,100.0,True,False,False,True,5.0,False,0.0,False,bon,1420,Appartement,Walloon Brabant,Region Walloonie
2513,True,700.0,2.0,82.0,True,False,False,False,0.0,False,0.0,False,excellentétat,6900,Appartement,Luxembourg,Region Walloonie
2514,True,850.0,2.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,bon,6120,Maison,Hainaut,Region Walloonie
2515,True,795.0,2.0,110.0,True,False,False,True,60.0,False,0.0,False,bon,9100,Appartement,East Flanders,Region Flanders
2516,True,1500.0,2.0,112.0,True,False,False,True,15.0,False,0.0,False,excellentétat,1410,Appartement,Walloon Brabant,Region Walloonie
2517,True,900.0,1.0,90.0,True,False,False,False,0.0,False,0.0,False,bon,1000,Appartement,Brussels,Brussels
2518,True,800.0,1.0,50.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1140,Appartement,Brussels,Brussels
2519,True,920.0,2.0,110.0,True,True,False,False,0.0,True,304.0,False,excellentétat,7181,Duplex,Walloon Region,Region Walloonie
2520,True,690.0,1.0,70.0,True,False,False,False,0.0,True,0.0,False,fraîchementrénové,9340,Appartement,East Flanders,Region Flanders
2521,True,875.0,2.0,90.0,True,False,False,False,0.0,False,0.0,False,bon,8000,Appartement,Walloon Region,Region Walloonie
2522,True,640.0,1.0,60.0,True,False,False,False,0.0,False,0.0,False,bon,9050,Appartement,East Flanders,Region Flanders
2523,True,680.0,2.0,82.0,True,False,False,False,0.0,False,0.0,False,excellentétat,6000,Appartement,Hainaut,Region Walloonie
2524,True,680.0,2.0,76.0,True,False,False,True,10.0,False,0.0,False,excellentétat,8500,Appartement,Walloon Region,Region Walloonie
2525,True,920.0,2.0,112.0,True,True,False,False,0.0,True,304.0,False,excellentétat,1400,Duplex,Walloon Brabant,Region Walloonie
2526,True,830.0,2.0,84.0,True,False,False,True,9.0,False,0.0,False,bon,3900,Appartement,Limburg,Region Flanders
2527,True,650.0,2.0,78.0,True,False,False,False,0.0,False,0.0,False,bon,8450,Duplex,Walloon Region,Region Walloonie
2528,True,530.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,3800,Appartement,Limburg,Region Flanders
2529,True,1450.0,1.0,64.0,True,True,False,False,0.0,False,0.0,False,fraîchementrénové,1050,Appartement,Brussels,Brussels
2530,True,2390.0,3.0,163.0,True,True,False,False,0.0,True,60.0,False,bon,1410,Maison,Walloon Brabant,Region Walloonie
2531,True,1100.0,2.0,90.0,True,False,False,True,3.0,False,0.0,False,bon,1140,Appartement,Brussels,Brussels
2532,True,550.0,2.0,90.0,True,False,False,False,0.0,False,0.0,False,bon,6640,Appartement,Luxembourg,Region Walloonie
2533,True,870.0,2.0,82.0,True,False,False,True,16.0,False,0.0,False,bon,5300,Appartement,Namur,Region Walloonie
2534,True,870.0,2.0,82.0,True,False,False,True,16.0,False,0.0,False,àrénover,5300,Penthouse,Namur,Region Walloonie
2535,True,1050.0,2.0,124.0,True,False,False,False,0.0,False,0.0,False,excellentétat,3010,Maison,Flemish Region,Region Flanders
2536,True,810.0,1.0,70.0,True,False,False,True,5.0,False,0.0,False,excellentétat,3070,Duplex,Flemish Region,Region Flanders
2537,True,1950.0,5.0,160.50541498310923,True,False,True,False,0.0,False,0.0,False,excellentétat,3080,Villa,Flemish Region,Region Flanders
2538,True,760.0,2.0,100.0,True,False,False,True,15.0,False,0.0,False,excellentétat,9200,Maison,East Flanders,Region Flanders
2539,True,750.0,2.0,80.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,7060,Maison,Walloon Region,Region Walloonie
2540,True,740.0,2.0,72.0,True,False,False,True,2.0,False,0.0,False,bon,1790,Appartement,Flemish Brabant,Region Flanders
2541,True,995.0,2.0,110.0,True,False,False,True,17.0,False,0.0,False,excellentétat,2300,Appartement,Antwerp,Region Flanders
2542,True,710.0,2.0,77.0,True,False,False,False,0.0,False,0.0,False,bon,6040,Appartement,Hainaut,Region Walloonie
2543,True,2200.0,2.0,133.0,True,False,False,True,15.0,True,90.0,False,excellentétat,1050,Duplex,Brussels,Brussels
2544,True,750.0,1.0,67.0,True,False,False,True,9.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie
2545,True,1100.0,2.0,90.0,True,False,False,True,8.0,False,0.0,False,excellentétat,1780,Appartement,Flemish Brabant,Region Flanders
2546,True,820.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,9950,Appartement,East Flanders,Region Flanders
2547,True,1050.0,1.0,72.0,True,False,False,True,73.0,True,70.0,False,bon,1200,Appartement,Brussels,Brussels
2548,True,2800.0,3.0,151.0,True,False,False,True,24.0,False,0.0,False,excellentétat,1160,Penthouse,Brussels,Brussels
2549,True,1400.0,3.0,120.0,True,False,False,False,0.0,False,0.0,False,bon,1180,Duplex,Brussels,Brussels
2550,True,1065.0,2.0,65.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1000,Duplex,Brussels,Brussels
2551,True,1300.0,4.0,160.0,True,False,False,True,24.0,True,100.0,False,excellentétat,1420,Maison,Walloon Brabant,Region Walloonie
2552,True,795.0,1.0,85.0,True,False,False,False,0.0,False,0.0,False,bon,3300,Duplex,Flemish Region,Region Flanders
2553,True,2300.0,3.0,150.0,True,False,False,True,30.0,False,0.0,False,excellentétat,1160,Duplex,Brussels,Brussels
2554,True,930.0,2.0,95.0,True,False,False,True,9.0,False,0.0,False,excellentétat,1150,Appartement,Brussels,Brussels
2555,True,1650.0,3.0,122.0,True,False,False,True,28.0,False,0.0,False,bon,1150,Appartement,Brussels,Brussels
2556,True,1900.0,2.0,115.0,True,True,False,True,17.0,False,0.0,False,excellentétat,1030,Penthouse,Brussels,Brussels
2557,True,1300.0,2.0,90.0,True,False,False,True,20.0,False,0.0,False,bon,1180,Appartement,Brussels,Brussels
2558,True,1100.0,3.0,112.0,True,False,False,False,0.0,True,50.0,False,fraîchementrénové,1600,Maison,Flemish Brabant,Region Flanders
2559,True,530.0,2.0,60.0,True,False,False,False,0.0,False,0.0,False,bon,7700,Appartement,Walloon Region,Region Walloonie
2560,True,900.0,2.0,102.0,True,False,False,True,7.0,False,0.0,False,excellentétat,5500,Appartement,Namur,Region Walloonie
2561,True,735.0,2.0,103.0,True,False,False,True,35.0,True,35.0,False,fraîchementrénové,5620,Maison,Namur,Region Walloonie
2562,True,1500.0,3.0,172.0,True,False,False,True,18.0,True,650.0,True,excellentétat,9000,Appartement,East Flanders,Region Flanders
