,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
90,True,660.0,1.0,54.0,True,False,False,True,10.0,False,0.0,False,bon,2800,Appartement,Antwerp,Region Flanders,12.222222222222221
91,True,550.0,2.0,70.0,True,False,False,True,10.0,False,0.0,False,excellentétat,7603,Appartement,Walloon Region,Region Walloonie,7.857142857142857
92,True,2400.0,2.0,150.0,True,False,False,True,5.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,16.0
93,True,520.0,2.0,80.0,True,False,False,False,0.0,True,50.0,False,excellentétat,4802,Appartement,Liège,Region Walloonie,6.5
94,True,2000.0,2.0,100.0,True,True,False,True,17.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,20.0
95,True,450.0,1.0,47.0,True,False,False,True,6.0,True,0.0,False,excellentétat,5030,Appartementdeservice,Namur,Region Walloonie,9.574468085106384
96,True,3200.0,3.0,200.0,True,True,False,True,45.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,16.0
97,True,2800.0,3.0,125.0,True,True,False,True,8.0,False,0.0,False,bon,1000,Appartement,Brussels,Brussels,22.4
98,True,930.0,2.0,80.0,True,False,False,True,7.0,True,850.0,False,bon,3020,Appartementdeservice,Flemish Region,Region Flanders,11.625
99,True,1071.0,1.0,55.0,True,False,False,True,4.0,True,20.0,False,excellentétat,3190,Appartementdeservice,Flemish Region,Region Flanders,19.472727272727273
100,True,1980.0,5.0,180.0,True,True,False,False,0.0,False,0.0,False,excellentétat,3000,Maison,Flemish Region,Region Flanders,11.0
101,True,1275.0,1.0,60.0,True,True,False,False,0.0,False,0.0,False,àrénover,1000,Appartement,Brussels,Brussels,21.25
102,True,1250.0,3.0,120.0,True,False,False,True,11.0,False,0.0,False,bon,1150,Appartement,Brussels,Brussels,10.416666666666666
103,True,1600.0,2.0,103.0,True,True,False,True,60.0,False,0.0,False,excellentétat,1200,Appartement,Brussels,Brussels,15.533980582524272
104,True,765.0,2.0,110.0,True,False,False,True,20.0,True,120.0,False,bon,5170,Duplex,Namur,Region Walloonie,6.954545454545454
105,True,3200.0,1.0,110.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,29.09090909090909
106,True,3200.0,1.0,110.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,29.09090909090909
107,True,520.0,2.0,79.0,True,False,False,False,0.0,False,0.0,False,bon,7911,Appartement,Walloon Region,Region Walloonie,6.582278481012659
108,True,2850.0,2.0,198.0,True,False,False,True,100.0,False,0.0,False,fraîchementrénové,1150,Rez-de-chaussée,Brussels,Brussels,14.393939393939394
109,True,560.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,6032,Appartement,Hainaut,Region Walloonie,3.4889788612984276
110,True,775.0,2.0,92.0,True,False,False,True,13.0,False,0.0,False,excellentétat,5030,Appartement,Namur,Region Walloonie,8.423913043478262
111,True,860.0,2.0,120.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7000,Maison,Walloon Region,Region Walloonie,7.166666666666667
112,True,650.0,2.0,90.0,True,False,False,False,0.0,False,0.0,False,excellentétat,6000,Appartement,Hainaut,Region Walloonie,7.222222222222222
113,True,3650.0,3.0,185.0,True,False,False,True,56.0,False,0.0,False,fraîchementrénové,1000,Appartement,Brussels,Brussels,19.72972972972973
114,True,750.0,3.0,93.0,True,False,False,True,22.0,False,0.0,False,excellentétat,7134,Appartement,Walloon Region,Region Walloonie,8.064516129032258
115,True,1550.0,2.0,87.0,True,True,False,True,5.0,False,0.0,False,excellentétat,1932,Appartement,Flemish Brabant,Region Flanders,17.816091954022987
116,True,480.0,2.0,60.0,True,False,False,False,0.0,False,0.0,False,àrafraîchir,7600,Appartement,Walloon Region,Region Walloonie,8.0
117,True,875.0,2.0,90.0,True,False,False,True,5.0,True,0.0,False,fraîchementrénové,1340,Appartement,Walloon Brabant,Region Walloonie,9.722222222222221
118,True,500.0,2.0,50.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,4860,Appartement,Liège,Region Walloonie,10.0
119,True,700.0,2.0,99.0,True,False,False,False,0.0,False,0.0,False,bon,5650,Appartement,Namur,Region Walloonie,7.070707070707071
120,True,600.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,5360,Duplex,Namur,Region Walloonie,3.7381916371054578
121,True,1650.0,2.0,140.0,True,False,False,True,23.0,False,0.0,False,bon,1200,Duplex,Brussels,Brussels,11.785714285714286
122,True,750.0,2.0,100.0,True,False,False,True,17.0,False,0.0,False,bon,3400,Appartement,Flemish Region,Region Flanders,7.5
123,True,1195.0,2.0,70.0,True,True,False,False,0.0,False,0.0,False,excellentétat,2550,Appartement,Antwerp,Region Flanders,17.071428571428573
124,True,675.0,2.0,100.0,True,False,False,False,0.0,False,0.0,False,bon,5002,Appartement,Namur,Region Walloonie,6.75
125,True,650.0,3.0,76.0,True,False,False,False,0.0,False,0.0,False,bon,4860,Duplex,Liège,Region Walloonie,8.552631578947368
126,True,465.0,4.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,excellentétat,6001,Logementétudiant,Hainaut,Region Walloonie,2.8970985187567297
127,True,900.0,2.0,70.0,True,False,False,True,10.0,False,0.0,False,fraîchementrénové,1853,Appartement,Flemish Brabant,Region Flanders,12.857142857142858
128,True,440.0,1.0,45.0,True,False,False,False,0.0,False,0.0,False,bon,5000,Studio,Namur,Region Walloonie,9.777777777777779
129,True,700.0,1.0,65.0,True,False,False,True,4.0,False,0.0,False,excellentétat,8800,Appartement,Walloon Region,Region Walloonie,10.76923076923077
130,True,1600.0,2.0,82.0,True,True,False,False,0.0,False,0.0,False,excellentétat,8300,Appartement,Walloon Region,Region Walloonie,19.51219512195122
131,True,650.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,6000,Appartement,Hainaut,Region Walloonie,4.049707606864246
132,True,850.0,1.0,75.0,True,True,False,False,0.0,False,0.0,False,excellentétat,2018,Appartement,Antwerp,Region Flanders,11.333333333333334
133,True,2550.0,3.0,130.0,True,False,False,False,0.0,True,200.0,False,excellentétat,1150,Maison,Brussels,Brussels,19.615384615384617
134,True,2300.0,3.0,200.0,True,False,False,True,5.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,11.5
