,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
169,True,650.0,1.0,83.0,True,False,False,True,11.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
170,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
171,True,650.0,1.0,82.0,True,False,False,True,10.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
172,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
173,True,650.0,1.0,82.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
174,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
175,True,1400.0,3.0,178.0,True,False,False,True,24.0,False,0.0,False,bon,1332,Villa,Walloon Brabant,Region Walloonie,7.865168539325842
176,True,1550.0,2.0,130.0,True,False,False,True,10.0,False,0.0,False,bon,1180,Appartement,Brussels,Brussels,11.923076923076923
177,True,775.0,2.0,85.0,True,False,False,True,4.0,False,0.0,False,fraîchementrénové,5000,Appartement,Namur,Region Walloonie,9.117647058823527
178,True,690.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,4630,Maison,Liège,Region Walloonie,4.298920382671277
179,True,730.0,1.0,54.0,True,False,False,True,15.0,False,0.0,False,excellentétat,2880,Appartement,Antwerp,Region Flanders,13.51851851851852
180,True,699.0,2.0,111.0,True,False,False,False,0.0,False,0.0,False,bon,7500,Appartement,Walloon Region,Region Walloonie,6.297297297297297
181,True,630.0,1.0,55.0,True,False,False,False,0.0,False,0.0,False,bon,5100,Appartement,Namur,Region Walloonie,11.454545454545457
182,True,590.0,2.0,60.0,True,False,False,False,0.0,False,0.0,False,bon,7603,Appartement,Walloon Region,Region Walloonie,9.833333333333334
183,True,450.0,1.0,51.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7971,Appartement,Walloon Region,Region Walloonie,8.823529411764707
184,True,845.0,2.0,80.0,True,False,False,True,14.0,False,0.0,False,excellentétat,9500,Appartement,East Flanders,Region Flanders,10.5625
185,True,800.0,3.0,80.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,9120,Appartement,East Flanders,Region Flanders,10.0
186,True,650.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,3680,Appartement,Limburg,Region Flanders,4.049707606864246
187,True,3800.0,3.0,150.0,True,True,False,True,165.0,False,0.0,False,excellentétat,1050,Penthouse,Brussels,Brussels,25.33333333333333
188,True,695.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,9988,Appartementdeservice,East Flanders,Region Flanders,4.330071979647156
189,True,650.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,9988,Appartementdeservice,East Flanders,Region Flanders,4.049707606864246
190,True,640.0,2.0,65.0,True,False,False,False,0.0,False,0.0,False,bon,5003,Appartement,Namur,Region Walloonie,9.846153846153848
191,True,2250.0,4.0,190.0,True,False,False,True,25.0,True,200.0,False,excellentétat,1180,Appartement,Brussels,Brussels,11.842105263157896
192,True,770.0,1.0,66.0,True,False,False,True,10.0,False,0.0,False,bon,5140,Appartement,Namur,Region Walloonie,11.666666666666666
193,True,480.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,7904,Duplex,Walloon Region,Region Walloonie,2.9905533096843664
194,True,700.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,2018,Appartement,Antwerp,Region Flanders,4.3612235766230345
195,True,800.0,1.0,72.0,True,False,False,True,8.0,False,0.0,False,bon,9000,Maison,East Flanders,Region Flanders,11.11111111111111
196,True,782.0,1.0,85.0,True,False,False,True,8.0,False,0.0,False,excellentétat,9900,Appartementdeservice,East Flanders,Region Flanders,9.2
197,True,825.0,1.0,73.0,True,False,False,True,23.0,False,0.0,False,excellentétat,1300,Appartement,Walloon Brabant,Region Walloonie,11.3013698630137
198,True,1300.0,2.0,89.0,True,True,False,True,6.0,False,0.0,False,excellentétat,1332,Appartement,Walloon Brabant,Region Walloonie,14.606741573033707
199,True,3800.0,2.0,200.0,True,True,False,True,250.0,True,95.0,False,bon,1050,Penthouse,Brussels,Brussels,19.0
